Date,auction_name,contract,auction_price_eur,auction_volume_tco2,total_revenue_eur,cover_ratio,country,source,source_url
2021-04-19,Auction 4. Period CAP3 EU,T3PA,44.66,3288500,146864410.0,1.49,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-20,Auction 4. Period CAP3 EU,T3PA,44.2,3288500,145351700.0,1.7,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-21,Auction 4. Period CAP3 PL,T3PA,44.85,2575000,115488750.0,1.43,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-22,Auction 4. Period CAP3 EU,T3PA,46.6,3288500,153244100.0,1.68,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-23,Auction 4. Period DE,T3PA,46.41,2651000,123032910.0,1.44,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-26,Auction 4. Period CAP3 EU,T3PA,47.24,3288500,155348740.0,1.38,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-27,Auction 4. Period CAP3 EU,T3PA,46.55,3288500,153079675.0,1.52,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-28,Auction 4. Period CAP3 PL,T3PA,48.0,2575000,123600000.0,1.47,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-29,Auction 4. Period CAP3 EU,T3PA,47.25,3288500,155381625.0,1.59,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-30,Auction 4. Period DE,T3PA,47.68,2651000,126399680.0,1.67,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-04,Auction 4. Period CAP3 EU,T3PA,49.33,3288500,162221705.0,1.42,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-05,Auction 4. Period CAP3 PL,T3PA,48.62,2575000,125196500.0,1.56,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-06,Auction 4. Period CAP3 EU,T3PA,49.45,3288500,162616325.0,1.59,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-05-07,Auction 4. Period DE,T3PA,49.46,2651000,131118460.0,1.98,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
