quantile,horizon,feature,coefficient
0.1,14,y_mean_20,0.0
0.1,14,y_std_20,0.0
0.1,15,y_return_last,0.0
0.1,15,y_last,0.6759399859778095
0.1,15,eua_high_last,0.0
0.1,15,eua_low_last,0.21844799469333628
0.1,15,eua_volume_last,1.4415716166688855e-06
0.1,15,eua_range_last,0.0
0.1,15,eua_range_pct_last,0.0
0.1,15,icap_secondary_last,0.014706474485951125
0.1,15,icap_return_last,0.0
0.1,15,eurusd_last,0.0
0.1,15,brent_price_last,-0.010695645663749597
0.1,15,y_lag_1,0.0
0.1,15,y_lag_5,0.0
0.1,15,y_lag_10,0.0
0.1,15,y_lag_20,0.0
0.1,15,y_mean_20,0.0
0.1,15,y_std_20,0.0
0.1,16,y_return_last,0.0
0.1,16,y_last,0.5571398748910841
0.1,16,eua_high_last,0.0
0.1,16,eua_low_last,0.34602126903868113
0.1,16,eua_volume_last,3.5198892066569867e-06
0.1,16,eua_range_last,0.0
0.1,16,eua_range_pct_last,0.0
0.1,16,icap_secondary_last,0.0036394831387318908
0.1,16,icap_return_last,0.0
0.1,16,eurusd_last,0.0
0.1,16,brent_price_last,-0.01130110550307046
0.1,16,y_lag_1,0.0
0.1,16,y_lag_5,0.0
0.1,16,y_lag_10,0.0
0.1,16,y_lag_20,0.0
0.1,16,y_mean_20,0.0
0.1,16,y_std_20,0.0
0.1,17,y_return_last,0.0
0.1,17,y_last,0.46518530344015646
0.1,17,eua_high_last,0.0
0.1,17,eua_low_last,0.4364598158667022
0.1,17,eua_volume_last,3.51399027559507e-06
0.1,17,eua_range_last,0.0
0.1,17,eua_range_pct_last,0.0
0.1,17,icap_secondary_last,0.005868707667355391
0.1,17,icap_return_last,0.0
0.1,17,eurusd_last,0.0
0.1,17,brent_price_last,-0.0105611904700326
0.1,17,y_lag_1,0.0
0.1,17,y_lag_5,0.0
0.1,17,y_lag_10,0.0
0.1,17,y_lag_20,0.0
0.1,17,y_mean_20,0.0
0.1,17,y_std_20,0.0
0.1,18,y_return_last,0.0
0.1,18,y_last,0.2500820886201405
0.1,18,eua_high_last,0.0
0.1,18,eua_low_last,0.6460645251981353
0.1,18,eua_volume_last,3.7847729685409914e-06
0.1,18,eua_range_last,0.0
0.1,18,eua_range_pct_last,0.0
0.1,18,icap_secondary_last,0.012944798932613357
0.1,18,icap_return_last,0.0
0.1,18,eurusd_last,0.0
0.1,18,brent_price_last,-0.010737758630841124
0.1,18,y_lag_1,0.0
0.1,18,y_lag_5,0.0
0.1,18,y_lag_10,0.0
0.1,18,y_lag_20,0.0
0.1,18,y_mean_20,0.0
0.1,18,y_std_20,0.0
0.1,19,y_return_last,0.0
0.1,19,y_last,0.4025171886205525
0.1,19,eua_high_last,0.1505826529498288
0.1,19,eua_low_last,0.34274819136113405
0.1,19,eua_volume_last,2.8758456416579527e-06
0.1,19,eua_range_last,0.0
0.1,19,eua_range_pct_last,0.0
0.1,19,icap_secondary_last,0.005387335948673476
0.1,19,icap_return_last,0.0
0.1,19,eurusd_last,0.0
0.1,19,brent_price_last,-0.011522210084775483
0.1,19,y_lag_1,0.0
0.1,19,y_lag_5,0.0
0.1,19,y_lag_10,0.0
0.1,19,y_lag_20,0.0
0.1,19,y_mean_20,0.0
0.1,19,y_std_20,0.0
0.1,20,y_return_last,0.0
0.1,20,y_last,0.3581068635283912
0.1,20,eua_high_last,0.02134532656928523
0.1,20,eua_low_last,0.526483814743532
0.1,20,eua_volume_last,6.890845467636176e-06
0.1,20,eua_range_last,0.0
0.1,20,eua_range_pct_last,0.0
0.1,20,icap_secondary_last,0.0009566032085509227
0.1,20,icap_return_last,0.0
0.1,20,eurusd_last,0.0
0.1,20,brent_price_last,-0.01340191139232342
0.1,20,y_lag_1,0.0
0.1,20,y_lag_5,0.0
0.1,20,y_lag_10,0.0
0.1,20,y_lag_20,0.0
0.1,20,y_mean_20,0.0
0.1,20,y_std_20,0.0
0.1,21,y_return_last,0.0
0.1,21,y_last,0.12905887783764558
0.1,21,eua_high_last,0.0478112659928436
0.1,21,eua_low_last,0.735862745659145
0.1,21,eua_volume_last,2.8280531479085077e-06
0.1,21,eua_range_last,0.0
0.1,21,eua_range_pct_last,0.0
0.1,21,icap_secondary_last,0.0
0.1,21,icap_return_last,0.0
0.1,21,eurusd_last,0.0
0.1,21,brent_price_last,-0.012561581952891991
0.1,21,y_lag_1,0.0
0.1,21,y_lag_5,0.0
0.1,21,y_lag_10,0.0
0.1,21,y_lag_20,0.0
0.1,21,y_mean_20,0.0
0.1,21,y_std_20,0.0
0.1,22,y_return_last,0.0
0.1,22,y_last,0.16579739104524846
0.1,22,eua_high_last,0.25446232016195436
0.1,22,eua_low_last,0.4875785133202107
0.1,22,eua_volume_last,2.709704731648148e-06
0.1,22,eua_range_last,0.0
0.1,22,eua_range_pct_last,0.0
0.1,22,icap_secondary_last,0.0
0.1,22,icap_return_last,0.0
0.1,22,eurusd_last,0.0
0.1,22,brent_price_last,-0.012648505881736207
0.1,22,y_lag_1,0.0
0.1,22,y_lag_5,0.0
0.1,22,y_lag_10,0.0
0.1,22,y_lag_20,0.0
0.1,22,y_mean_20,0.0
0.1,22,y_std_20,0.0
0.1,23,y_return_last,0.0
0.1,23,y_last,0.0
0.1,23,eua_high_last,0.4989408018751393
0.1,23,eua_low_last,0.4001510012472189
0.1,23,eua_volume_last,4.782614237434215e-07
0.1,23,eua_range_last,0.0
0.1,23,eua_range_pct_last,0.0
0.1,23,icap_secondary_last,0.0
