,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,www.eex.com/en/products/environmental-markets/emissions-auctions/overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References,,,,Prices,,,,,Volumes,,,,,,,,,,,Participants,,Revenue,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Auction Name,Contract,Auction Price €/tCO2,Minimum Bid €/tCO2,Maximum Bid €/tCO2,Mean €/tCO2,Median €/tCO2,Auction Volume tCO2,Total Amount of Bids,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue €,Country,"Austria
(AT)","Belgium
(BE)","Bulgaria
(BG)","Cyprus
(CY)","Czech Republic
(CZ)","Germany
(DE)","Denmark
(DK)","Estonia
(EE)","Greece
(EL)","Spain
(ES)","Finland
(FI)","France
(FR)","Croatia
(HR)","Hungary
(HU)","Ireland
(IE)","Italy
(IT)","Lithuania
(LT)","Luxembourg
(LU)","Latvia
(LV)","Malta
(MT)","Netherlands
(NL)","Poland
(PL)","Portugal
(PT)","Romania
01.10.2018,11:00,Auction 3. Period CAP2-EU,T3PA,20.70,10.00,28.10,19.89,20.62,"4,213,000","11,345,500",77,28,3.35,"147,344","493,283","740,588","280,867","470,799",2.69,23,15,"87,209,100",EU,"2,080,350","3,798,450","3,684,600","248,400","5,837,400",,"1,873,350","1,407,600","5,195,700","12,927,150","2,504,700","8,197,200","714,150","2,245,950","1,397,250","14,427,900","796,950","175,950","403,650","155,250","5,019,750",,"2,628,900","7,182,900","1,335,150","662,400","2,308,050"
28.09.2018,11:00,Auction 3. Period DE,T3PA,20.30,10.00,28.12,19.71,20.19,"5,450,000","10,844,500",76,29,3.30,"142,691","471,500","705,288","389,286","526,144",1.99,23,14,"110,635,000",DE,,,,,,"110,635,000",,,,,,,,,,,,,,,,,,,,,
27.09.2018,11:00,Auction 3. Period CAP2-EU,T3PA,19.87,10.00,25.00,19.03,19.80,"4,213,000","8,360,000",74,32,3.36,"112,973","380,000","525,995","280,867","406,683",1.98,22,15,"83,712,310",EU,"1,996,935","3,646,145","3,536,860","238,440","5,603,340",,"1,798,235","1,351,160","4,987,370","12,408,815","2,404,270","7,868,520","685,515","2,155,895","1,341,225","13,849,390","764,995","168,895","387,465","149,025","4,818,475",,"2,523,490","6,894,890","1,281,615","635,840","2,215,505"
26.09.2018,11:00,Auction 3. Period CAP2-PL,T3PA,20.40,10.00,25.00,19.38,20.50,"3,547,000","6,582,000",65,40,3.10,"101,262","313,429","433,941","186,684","320,220",1.86,21,19,"72,358,800",PL,,,,,,,,,,,,,,,,,,,,,,"72,358,800",,,,,
25.09.2018,11:00,Auction 3. Period CAP2-EU,T3PA,21.90,10.00,23.50,20.71,21.85,"4,213,000","7,843,500",77,36,3.08,"101,864","313,740","502,909","221,737","486,152",1.86,25,19,"92,264,700",EU,"2,200,950","4,018,650","3,898,200","262,800","6,175,800",,"1,981,950","1,489,200","5,496,900","13,676,550","2,649,900","8,672,400","755,550","2,376,150","1,478,250","15,264,300","843,150","186,150","427,050","164,250","5,310,750",,"2,781,300","7,599,300","1,412,550","700,800","2,441,850"
24.09.2018,11:00,Auction 3. Period CAP2-EU,T3PA,22.39,10.00,25.00,21.06,22.32,"4,213,000","7,629,500",82,34,3.28,"93,043","305,180","416,616","247,824","363,989",1.81,25,17,"94,329,070",EU,"2,250,195","4,108,565","3,985,420","268,680","6,313,980",,"2,026,295","1,522,520","5,619,890","13,982,555","2,709,190","8,866,440","772,455","2,429,315","1,511,325","15,605,830","862,015","190,315","436,605","167,925","5,429,575",,"2,843,530","7,769,330","1,444,155","716,480","2,496,485"
20.09.2018,11:00,Auction 3. Period CAP2-EU,T3PA,21.80,10.00,26.12,20.75,21.78,"4,213,000","7,281,000",84,39,3.11,"86,679","269,667","351,362","210,650","290,351",1.73,27,20,"91,843,400",EU,"2,190,900","4,000,300","3,880,400","261,600","6,147,600",,"1,972,900","1,482,400","5,471,800","13,614,100","2,637,800","8,632,800","752,100","2,365,300","1,471,500","15,194,600","839,300","185,300","425,100","163,500","5,286,500",,"2,768,600","7,564,600","1,406,100","697,600","2,430,700"
18.09.2018,11:00,Auction 3. Period CAP2-EU,T3PA,20.75,10.00,25.00,20.04,20.76,"4,213,000","15,323,500",94,49,3.76,"163,016","612,940","1,750,474","175,542","247,909",3.64,25,24,"87,419,750",EU,"2,085,375","3,807,625","3,693,500","249,000","5,851,500",,"1,877,875","1,411,000","5,208,250","12,958,375","2,510,750","8,217,000","715,875","2,251,375","1,400,625","14,462,750","798,875","176,375","404,625","155,625","5,031,875",,"2,635,250","7,200,250","1,338,375","664,000","2,313,625"
17.09.2018,11:00,Auction 3. Period CAP2-EU,T3PA,20.60,10.00,25.00,19.41,20.20,"4,213,000","14,636,500",88,21,3.26,"166,324","542,093","1,317,904","280,867","331,909",3.47,27,15,"86,787,800",EU,"2,070,300","3,780,100","3,666,800","247,200","5,809,200",,"1,864,300","1,400,800","5,170,600","12,864,700","2,492,600","8,157,600","710,700","2,235,100","1,390,500","14,358,200","793,100","175,100","401,700","154,500","4,995,500",,"2,616,200","7,148,200","1,328,700","659,200","2,296,900"
14.09.2018,11:00,Auction 3. Period DE,T3PA,19.51,6.00,25.00,18.80,19.65,"4,360,000","15,881,000",83,51,3.07,"191,337","588,185","1,689,661","174,400","257,002",3.64,27,25,"85,063,600",DE,,,,,,"85,063,600",,,,,,,,,,,,,,,,,,,,,
13.09.2018,11:00,Auction 3. Period CAP2-EU,T3PA,21.90,10.00,24.00,20.88,21.97,"4,213,000","13,508,000",100,64,3.33,"135,080","450,267","949,431","150,464","200,559",3.21,30,28,"92,264,700",EU,"2,200,950","4,018,650","3,898,200","262,800","6,175,800",,"1,981,950","1,489,200","5,496,900","13,676,550","2,649,900","8,672,400","755,550","2,376,150","1,478,250","15,264,300","843,150","186,150","427,050","164,250","5,310,750",,"2,781,300","7,599,300","1,412,550","700,800","2,441,850"
12.09.2018,15:00,EUAA Auction CAP2-EU,EAA3,23.75,23.01,24.11,23.66,23.69,"958,000","1,906,000",51,20,5.67,"37,373","211,778","168,779","136,857","88,006",1.99,9,7,"22,752,500",EU,"676,875","771,875","261,250","415,625","344,375",,"783,750","47,500","1,436,875","4,702,500","617,500","3,503,125","178,125","285,000","617,500","4,156,250","83,125","59,375","154,375","166,250","1,056,875",,"831,250","463,125","1,045,000","35,625","59,375"
12.09.2018,11:00,Auction 3. Period CAP2-PL,T3PA,23.55,6.00,26.00,22.17,23.55,"3,547,000","12,831,000",88,45,3.03,"145,807","442,448","1,096,689","147,792","184,132",3.62,29,24,"83,531,850",PL,,,,,,,,,,,,,,,,,,,,,,"83,531,850",,,,,
11.09.2018,11:00,Auction 3. Period CAP2-EU,T3PA,24.15,6.00,26.00,22.45,23.91,"4,213,000","10,756,000",85,26,3.15,"126,541","398,370","671,282","324,077","488,671",2.55,27,13,"101,743,950",EU,"2,427,075","4,431,525","4,298,700","289,800","6,810,300",,"2,185,575","1,642,200","6,061,650","15,081,675","2,922,150","9,563,400","833,175","2,620,275","1,630,125","16,832,550","929,775","205,275","470,925","181,125","5,856,375",,"3,067,050","8,380,050","1,557,675","772,800","2,692,725"
10.09.2018,11:00,Auction 3. Period CAP2-EU,T3PA,24.85,10.00,26.00,23.21,24.86,"4,213,000","17,032,000",72,37,2.88,"236,556","681,280","2,135,230","210,650","348,801",4.04,25,20,"104,693,050",EU,"2,497,425","4,559,975","4,423,300","298,200","7,007,700",,"2,248,925","1,689,800","6,237,350","15,518,825","3,006,850","9,840,600","857,325","2,696,225","1,677,375","17,320,450","956,725","211,225","484,575","186,375","6,026,125",,"3,155,950","8,622,950","1,602,825","795,200","2,770,775"
07.09.2018,11:00,Auction 3. Period DE,T3PA,22.51,7.77,27.50,21.11,22.24,"4,360,000","17,537,000",102,21,3.64,"171,931","626,321","1,328,548","396,364","538,226",4.02,28,11,"98,143,600",DE,,,,,,"98,143,600",,,,,,,,,,,,,,,,,,,,,
04.09.2018,11:00,Auction 3. Period CAP2-EU,T3PA,20.50,10.00,23.00,19.67,20.36,"4,213,000","9,008,000",105,34,3.62,"85,790","310,621","406,769","221,737","357,257",2.14,29,19,"86,366,500",EU,"2,060,250","3,761,750","3,649,000","246,000","5,781,000",,"1,855,250","1,394,000","5,145,500","12,802,250","2,480,500","8,118,000","707,250","2,224,250","1,383,750","14,288,500","789,250","174,250","399,750","153,750","4,971,250",,"2,603,500","7,113,500","1,322,250","656,000","2,285,750"
