feature,family,summary_stat,score,selected_above_threshold
uk_power_hdd18_surprise_interaction,energy,last,0.09050792455673218,True
coal_brent_ratio,energy,change_5,0.09006301313638687,True
uk_power_price,energy,change_20,0.0897614061832428,True
uk_icap_secondary_print_day,uk_icap,change_20,0.08712199330329895,True
target_range_pct,target_derived,change_20,0.08632421493530273,True
uk_icap_primary_days_since_print,uk_icap,change_20,0.08586092293262482,True
uka_gas_ratio,other,change_5,0.08440414816141129,True
uk_gas_return,energy,change_5,0.08359477669000626,True
uk_icap_spread_lag_20,uk_icap,std_20,0.08254174143075943,True
uk_icap_spread_lag_20,uk_icap,change_5,0.08184407651424408,True
eua_low,other,change_20,0.08092738687992096,True
uk_icap_secondary,uk_icap,change_5,0.07759302109479904,True
uk_power_return,energy,change_5,0.07752919942140579,True
uk_icap_primary_lag_20,uk_icap,change_20,0.0774320736527443,True
y_ma_5d,target_derived,change_20,0.07635144144296646,True
uk_icap_dow_cos,uk_icap,change_20,0.07511375099420547,True
uk_icap_primary_days_since_print,uk_icap,change_5,0.07299254834651947,True
uk_hdd18,weather,change_20,0.07194817811250687,True
coal_brent_ratio_z20,energy,std_20,0.07021808624267578,True
uk_power_hdd18_interaction,energy,last,0.06995504349470139,True
uk_temp_min_c,weather,change_20,0.06954672932624817,True
uka_power_ratio_z20,other,std_20,0.06768319755792618,True
y_return,target_derived,change_20,0.0658024325966835,True
auction_price_lag_20,uk_auction,change_5,0.0645943135023117,True
y_return,target_derived,last,0.06440773606300354,True
uk_temp_mean_c,weather,change_20,0.06407827138900757,True
uka_brent_ratio_z20,other,change_20,0.061792951077222824,True
uk_icap_dow_cos,uk_icap,change_5,0.05867842957377434,True
uk_hdd18,weather,change_5,0.05839494615793228,True
target_range_pct,target_derived,change_5,0.056503742933273315,True
uka_brent_return_spread,other,change_5,0.05365382507443428,True
is_auction_day,uk_auction,last,0.05255619436502457,True
uk_temp_mean_7d_ma,weather,change_20,0.0522700659930706,True
uk_power_gas_spread,energy,change_20,0.049638181924819946,True
uk_power_gas_spread,energy,change_5,0.04840415343642235,True
y_momentum_5d,target_derived,change_5,0.045901697129011154,True
eua_volume,other,change_5,0.045590586960315704,True
uka_coal_return_spread,other,change_20,0.04508824273943901,True
y_momentum_5d,target_derived,last,0.04441040754318237,True
coal_brent_return_spread,energy,change_5,0.043805815279483795,True
uk_power_gas_spread_z20,energy,change_20,0.042851123958826065,True
brent_vol_20d,energy,last,0.042768433690071106,True
uk_gas_hdd18_interaction,energy,change_5,0.04141644015908241,True
uka_power_ratio_z20,other,change_20,0.04089730978012085,True
uk_icap_dow_cos,uk_icap,last,0.04060227796435356,True
uk_icap_spread_lag_1,uk_icap,change_20,0.04015083983540535,True
uka_coal_ratio_z20,other,change_5,0.03900369629263878,True
uk_gas_hdd18_interaction,energy,change_20,0.03892277553677559,True
uk_power_vol_5d,energy,last,0.03858380392193794,True
uk_hdd18_surprise,weather,last,0.0384625606238842,True
uka_coal_ratio_z20,other,change_20,0.03817775472998619,True
