url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,relevance_score,relevance_hits
http://carbon-pulse.com/29294/,,EU Market : EUAs surge late on short,2017-01-19 18:30:00+00:00,,carbon-pulse.com,English,France,9,eu_ets_strong;eu_context;carbon_terms=1
http://pt.euronews.com/2017/01/20/mexico-extradita-narcotraficante-joaquin-el-chapo-guzman-para-os-eua,,México extradita narcotraficante Joaquin  El Chapo  Guzman para os EUA,2017-01-20 01:30:00+00:00,http://static.euronews.com/articles/355491/1000x563_355491.jpg,pt.euronews.com,English,United States,8,eu_ets_strong;eu_context
http://www.euractiv.com/section/climate-environment/opinion/emissions-trading-scheme-by-numbers/,,Emissions Trading Scheme by numbers – EurActiv . com,2017-01-20 15:30:00+00:00,http://www.euractiv.com/wp-content/uploads/sites/2/2017/01/shutterstock_44883877-800x533.jpg,euractiv.com,English,Germany,5,eu_context;carbon_terms=3
http://carbon-pulse.com/29406/,,"EU Market : Energy rise helps EUAs rally for second day , score 7 . 5 % weekly gain « Carbon Pulse",2017-01-20 23:30:00+00:00,,carbon-pulse.com,English,France,10,eu_ets_strong;eu_context;carbon_terms=2
http://pt.euronews.com/2017/01/21/marcha-das-mulheres-contra-trump-junta-maiores-multides-de-sempre-nos-eua,,  Marcha das mulheres  contra Trump junta maiores multidões de sempre nos EUA,2017-01-22 09:00:00+00:00,http://static.euronews.com/articles/355624/1000x563_355624.jpg,pt.euronews.com,English,United States,8,eu_ets_strong;eu_context
http://pt.euronews.com/2017/01/22/dezenas-de-milhares-marcharam-nos-eua,,Dezenas de milhares marcharam nos EUA,2017-01-22 18:45:00+00:00,http://static.euronews.com/articles/355650/1000x563_355650.jpg,pt.euronews.com,English,United States,8,eu_ets_strong;eu_context
http://urbanmilwaukee.com/pressrelease/eua-promotes-excellence/,,EUA Promotes Excellence » Urban Milwaukee,2017-01-23 05:45:00+00:00,http://urbanmilwaukee.com/wp-content/uploads/2017/01/norman-c_288x432-1.jpg,urbanmilwaukee.com,English,United States,6,eu_ets_strong
http://pt.euronews.com/2017/01/23/trump-quer-mudar-embaixada-israelita-dos-eua-para-jerusalem,,Trump quer mudar embaixada israelita dos EUA para Jerusalém,2017-01-23 08:15:00+00:00,http://static.euronews.com/articles/355671/1000x563_355671.jpg,pt.euronews.com,English,United States,8,eu_ets_strong;eu_context
http://www.4-traders.com/news/EU-Emission-Trading-System-European-Parliament-puts-a-cap-on-local-investments-in-Modernisation-Fu--23737584/,http://www.4-traders.com/amp/news/EU-Emission-Trading-System-European-Parliament-puts-a-cap-on-local-investments-in-Modernisation-Fu--23737584/,EU Emission Trading System : European Parliament puts a cap on local investments in  Modernisation Fund  ,2017-01-23 12:00:00+00:00,,4-traders.com,English,United States,4,eu_context;carbon_terms=2
http://carbon-pulse.com/29432/,,China Chongqing allocates 100m permits to cover 2016 CO2 emissions « Carbon Pulse,2017-01-23 14:15:00+00:00,,carbon-pulse.com,English,France,4,carbon_terms=5
http://pt.euronews.com/2017/01/23/foxconn-planeia-investimento-de-7-mil-milhes-nos-eua,,Foxconn planeia investimento de 7 mil milhões nos EUA,2017-01-23 17:00:00+00:00,http://static.euronews.com/articles/355722/1000x563_355722.jpg,pt.euronews.com,English,United States,8,eu_ets_strong;eu_context
http://www.theenergycollective.com/onclimatechangepolicy/2396817/can-emissions-trading-produce-adequate-carbon-prices,,Can Emissions Trading Produce Adequate Carbon Prices ? ,2017-01-23 19:15:00+00:00,,theenergycollective.com,English,United States,4,carbon_terms=5
http://carbon-pulse.com/29458/,,EU Market : EUAs dip in wake of last week big gains « Carbon Pulse,2017-01-23 23:00:00+00:00,,carbon-pulse.com,English,France,10,eu_ets_strong;eu_context;carbon_terms=2
https://www.theguardian.com/commentisfree/2017/jan/24/no-new-coal-is-not-feasible-on-price-reliability-or-emissions,https://amp.theguardian.com/commentisfree/2017/jan/24/no-new-coal-is-not-feasible-on-price-reliability-or-emissions,"No , new coal is not feasible : on price , reliability or emissions ",2017-01-24 01:15:00+00:00,https://i.guim.co.uk/img/media/94ce1c4ba17b31013c9e6f82ddafabeb11b07b9b/0_258_3956_2375/master/3956.jpg?w=1200&h=630&q=55&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly91cGxvYWRzLmd1aW0uY28udWsvMjAxNi8wNS8yNS9vdmVybGF5LWxvZ28tMTIwMC05MF9vcHQucG5n&s=fe3fea31ccc0693384dfe8a3ef737d92,theguardian.com,English,United Kingdom,4,carbon_terms=3;energy_driver
http://pt.euronews.com/2017/01/29/eua-juiza-bloqueia-decreto-presidencial-que-proibe-entrada-de-cidadaos-de,,EUA : Juíza bloqueia decreto presidencial que proíbe entrada de cidadãos de países muçulmanos e imigrantes,2017-01-29 11:00:00+00:00,http://static.euronews.com/articles/356334/1000x563_356334.jpg,pt.euronews.com,English,United States,6,eu_ets_strong
