candidate,window,train_end,val_end,test_end,run_dir,tsm_path_mse,tsm_h20,tsm_h30,llm_path_mse,llm_h20,llm_h30,path_improvement_pct,h20_improvement_pct,h30_improvement_pct,apply_rate,additional_blocks
safe_h20_3p0_h30_5p0,W1,2023-10-27,2024-10-26,2025-06-30,20260319_000250_03d354,23.734298942234613,28.54216612626474,38.95944076292404,23.826789589202836,28.638134493081118,39.11654083307428,-0.0038969192725402113,-0.003362336495129181,-0.0040324005446132904,0.32867132867132864,12.0
safe_h20_2p5_h30_4p0_vol_3p8,W1,2023-10-27,2024-10-26,2025-06-30,20260319_000250_03d354,23.734298942234613,28.54216612626474,38.95944076292404,23.73015181119265,28.521564264597085,38.960113623584405,0.00017473155841085664,0.0007218044200469897,-1.7270798738033832e-05,0.2097902097902098,29.0
safe_h20_2p0_h30_3p0,W2,2023-02-22,2024-02-22,2024-10-26,20260319_002140_38080d,19.702138079482506,26.413955366128217,37.03058193346247,19.702859438537228,26.415180093931106,37.02801087677673,-3.661323719339471e-05,-4.636669464730403e-05,6.943063142672568e-05,0.00684931506849315,1.0
safe_h20_2p5_h30_4p0,W2,2023-02-22,2024-02-22,2024-10-26,20260319_002140_38080d,19.702138079482506,26.413955366128217,37.03058193346247,19.702859438537228,26.415180093931106,37.02801087677673,-3.661323719339471e-05,-4.636669464730403e-05,6.943063142672568e-05,0.00684931506849315,1.0
safe_h20_3p0_h30_5p0,W2,2023-02-22,2024-02-22,2024-10-26,20260319_002140_38080d,19.702138079482506,26.413955366128217,37.03058193346247,19.702859438537228,26.415180093931106,37.02801087677673,-3.661323719339471e-05,-4.636669464730403e-05,6.943063142672568e-05,0.00684931506849315,1.0
safe_h20_2p5_h30_4p0_vol_3p8,W2,2023-02-22,2024-02-22,2024-10-26,20260319_002140_38080d,19.702138079482506,26.413955366128217,37.03058193346247,19.702138079482506,26.413955366128217,37.03058193346247,0.0,0.0,0.0,0.0,2.0
safe_h20_2p0_h30_3p0,W3,2022-06-20,2023-06-20,2024-02-22,20260319_003723_9eaac4,70.20631329977502,90.61180260359033,119.53193512342388,70.17130200070272,90.56572391217459,119.46840679829869,0.0004986916051665791,0.0005085285811753382,0.0005314757521460711,0.0136986301369863,21.0
safe_h20_2p5_h30_4p0,W3,2022-06-20,2023-06-20,2024-02-22,20260319_003723_9eaac4,70.20631329977502,90.61180260359033,119.53193512342388,70.17249827364878,90.58189925757551,119.46840679829869,0.0004816522124135858,0.0003300160150840892,0.0005314757521460711,0.02054794520547945,20.0
safe_h20_3p0_h30_5p0,W3,2022-06-20,2023-06-20,2024-02-22,20260319_003723_9eaac4,70.20631329977502,90.61180260359033,119.53193512342388,70.17249827364878,90.58189925757551,119.46840679829869,0.0004816522124135858,0.0003300160150840892,0.0005314757521460711,0.02054794520547945,20.0
safe_h20_2p5_h30_4p0_vol_3p8,W3,2022-06-20,2023-06-20,2024-02-22,20260319_003723_9eaac4,70.20631329977502,90.61180260359033,119.53193512342388,70.20631329977502,90.61180260359033,119.53193512342388,0.0,0.0,0.0,0.0,23.0
safe_h20_2p0_h30_3p0,W4,2021-10-16,2022-10-16,2023-06-20,20260319_005435_9b1195,104.78155597697156,131.85379580237299,222.80013206461504,104.80027639152063,131.90213583019482,222.8130007051344,-0.00017866135289290597,-0.00036661840129581513,-5.7758675455543695e-05,0.0273972602739726,11.0
safe_h20_2p5_h30_4p0,W4,2021-10-16,2022-10-16,2023-06-20,20260319_005435_9b1195,104.78155597697156,131.85379580237299,222.80013206461504,104.80027639152063,131.90213583019482,222.8130007051344,-0.00017866135289290597,-0.00036661840129581513,-5.7758675455543695e-05,0.0273972602739726,11.0
safe_h20_3p0_h30_5p0,W4,2021-10-16,2022-10-16,2023-06-20,20260319_005435_9b1195,104.78155597697156,131.85379580237299,222.80013206461504,104.79065990444086,131.86320781843176,222.87198160630513,-8.688482800645048e-05,-7.138221544167322e-05,-0.00032248428681014296,0.03424657534246575,10.0
safe_h20_2p5_h30_4p0_vol_3p8,W4,2021-10-16,2022-10-16,2023-06-20,20260319_005435_9b1195,104.78155597697156,131.85379580237299,222.80013206461504,104.79566912976377,131.87768749635956,222.79519756284228,-0.0001346911931265904,-0.00018119837840990805,2.2147660896920662e-05,0.0136986301369863,13.0
